"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1 Hour","Within","6 Weeks","3/8",44,90,35,34,31,0.2316,0.2533,0.0849,0.094,1.251,0.6345,0.5246,73.45,38
"20%","1 Hour","Within","6 Weeks","3/8",48,91,38,36,35,0.2408,0.2642,0.0925,0.0994,1.3332,0.8639,0.5736,72.05,41.1
"30%","1 Hour","Within","6 Weeks","3/8",50,91,40,37,36,0.2453,0.2702,0.0972,0.1026,1.3834,1.0045,0.601,71.32,42.5
"40%","1 Hour","Within","6 Weeks","3/8",50,91,41,38,37,0.2481,0.2737,0.1006,0.1048,1.4162,1.1045,0.6186,70.87,43.28
"50%","1 Hour","Within","6 Weeks","3/8",51,92,41,38,37,0.2502,0.2764,0.1031,0.1065,1.4398,1.1796,0.6311,70.59,43.76
"10%","1.5 Hours","Within","6 Weeks","3/8",46,90,36,35,33,0.277,0.2974,0.0869,0.1025,1.4466,0.6495,0.5347,73.16,39.22
"20%","1.5 Hours","Within","6 Weeks","3/8",50,91,40,38,36,0.2902,0.312,0.0947,0.1086,1.5365,0.8863,0.5845,71.73,42.65
"30%","1.5 Hours","Within","6 Weeks","3/8",51,92,41,39,37,0.2971,0.3202,0.0996,0.1121,1.5884,1.0314,0.6129,70.98,44.21
"40%","1.5 Hours","Within","6 Weeks","3/8",52,92,42,40,38,0.3017,0.3253,0.1032,0.1146,1.6223,1.135,0.6308,70.52,45.09
"40%","2.5 Hours","Across","6 Weeks","2/8",73,99,66,60,59,0.544,0.5682,0.1281,0.1367,1.9886,1.6601,0.745,69.53,51.76
"50%","1.5 Hours","Within","6 Weeks","3/8",53,92,43,40,39,0.305,0.329,0.106,0.116,1.647,1.213,0.644,70.2,45.6
